"","","","Year","Flow",""
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","264 246","239 195","25 051"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","8 290 941","5 767 151","2 523 790"
"","","[854232] Electronic integrated circuits; memories","49 996","38 756","11 240"
"","","[854233] Electronic integrated circuits; amplifiers","35 175","16 951","18 224"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","937 439","802 275","135 164"
"","","[854290] Parts of electronic integrated circuits","2 872 434","1 867 062","1 005 372"
"","Sri Lanka [LK]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","361 709","359 368","2 341"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","110 267","88 607","21 661"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","1 475 341","1 475 341",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","962 040","936 153","25 886"
"","","[854232] Electronic integrated circuits; memories","5 590","339","5 251"
"","","[854233] Electronic integrated circuits; amplifiers","20","20",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","264 060","257 494","6 566"
"","","[854290] Parts of electronic integrated circuits","30 609","28 652","1 957"
"","Sudan [SD]","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","5","5",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","111","111",""
"","Sweden [SE]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","378 945","122 738","256 207"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","1 717 815","942 658","775 156"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","600 937","14","600 923"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","3 581 329","1 928 385","1 652 945"
"","","[854232] Electronic integrated circuits; memories","1 069 304","874 183","195 121"
"","","[854233] Electronic integrated circuits; amplifiers","204 937","185 034","19 903"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","1 602 410","730 129","872 281"
"","","[854290] Parts of electronic integrated circuits","39 328 601","682 469","38 646 131"
"","Switzerland [CH]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","3 261 475","2 646 644","614 831"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","955 565","704 398","251 167"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","611 521","500 125","111 395"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","13 274 043","4 614 468","8 659 575"
"","","[854232] Electronic integrated circuits; memories","66 533","7 651","58 882"
"","","[854233] Electronic integrated circuits; amplifiers","62 810","12 560","50 251"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","8 316 524","2 041 315","6 275 209"
"","","[854290] Parts of electronic integrated circuits","17 255 450","8 284 174","8 971 276"
"","Taiwan [TW]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","4 112 594 873","341 912 141","3 770 682 733"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","1 000 182 421","517 945 926","482 236 495"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","3 106 343","1 499 366","1 606 977"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","17 829 297 719","8 298 335 590","9 530 962 129"
"","","[854232] Electronic integrated circuits; memories","4 263 331 978","2 072 729 196","2 190 602 783"
"","","[854233] Electronic integrated circuits; amplifiers","740 637 650","714 852 149","25 785 501"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","5 640 177 657","1 978 453 855","3 661 723 802"
"","","[854290] Parts of electronic integrated circuits","7 649 725 394","774 065 508","6 875 659 886"
"","Tajikistan [TJ]","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2","2",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","495","495",""
"","Tanzania, United Republic of [TZ]","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","256 005","256 005",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","12 816","12 816",""
"","Thailand [TH]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","621 675 725","473 563 485","148 112 240"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","537 995 050","258 709 551","279 285 499"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","3 991 405","828 715","3 162 690"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 693 617 865","1 499 011 596","194 606 269"
"","","[854232] Electronic integrated circuits; memories","504 156 385","476 131 878","28 024 507"
"","","[854233] Electronic integrated circuits; amplifiers","39 947 647","21 060 748","18 886 900"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","1 674 176 036","1 155 172 659","519 003 378"
"","","[854290] Parts of electronic integrated circuits","733 460 598","474 258 212","259 202 386"
"","Timor-Leste [TL]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","8 678","8 678",""
"","Togo [TG]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","25 114","25 114",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","836","836",""
"","Tonga [TO]","[854290] Parts of electronic integrated circuits","3","3",""
"","Trinidad and Tobago [TT]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","351","351",""
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","4 885","4 885",""
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2","2",""
"","Tunisia [TN]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 356","1 356",""
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","264 032","264 032",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","155 640 180","155 636 424","3 756"
"","","[854232] Electronic integrated circuits; memories","8 819","8 819",""
"","","[854233] Electronic integrated circuits; amplifiers","4 211 110","4 211 110",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","5 920 785","5 914 486","6 298"
"","","[854290] Parts of electronic integrated circuits","1 113 996","1 084 411","29 585"
"","Turkey [TR]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","12 184 111","7 418 110","4 766 001"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","21 662 731","21 622 265","40 466"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2 511 959","2 511 649","310"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 505 468","1 504 864","604"
"","","[854232] Electronic integrated circuits; memories","10 470 938","10 443 014","27 924"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","1 544 863","1 539 230","5 634"
"","","[854290] Parts of electronic integrated circuits","5 716 478","5 715 412","1 066"
"","Turkmenistan [TM]","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","119","119",""
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","8 555","8 555",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","24 567","","24 567"
"","Tuvalu [TV]","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","1 806","","1 806"
"","Ukraine [UA]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","36 091","36 091",""
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","73 395","73 395",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","92 366","92 142","225"
"","","[854232] Electronic integrated circuits; memories","117","117",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","803","133","670"
"","United Arab Emirates [AE]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","2 725 547","2 666 013","59 534"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","64 544 840","64 526 501","18 338"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","1 317 488","1 310 170","7 318"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 041 266","425 656","615 610"
"","","[854232] Electronic integrated circuits; memories","34 795 845","34 791 080","4 765"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","48 224","48 069","155"
"","","[854290] Parts of electronic integrated circuits","5 640 203","5 640 203",""
"","United Kingdom [GB]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","26 464 498","23 794 074","2 670 424"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","54 277 970","53 634 788","643 182"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2 232 425","318 199","1 914 226"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","36 482 408","33 360 312","3 122 096"
"","","[854232] Electronic integrated circuits; memories","4 809 430","4 749 983","59 447"
"","","[854233] Electronic integrated circuits; amplifiers","373 175","284 078","89 098"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","9 999 752","3 193 069","6 806 683"
"","","[854290] Parts of electronic integrated circuits","64 623 682","31 371 188","33 252 494"
"","United states [US]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","2 060 015 248","1 783 033 328","276 981 920"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","3 139 288 295","2 883 068 607","256 219 688"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","119 199 018","117 019 961","2 179 057"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","13 943 412 405","7 912 493 990","6 030 918 415"
"","","[854232] Electronic integrated circuits; memories","1 620 062 024","1 582 414 977","37 647 047"
"","","[854233] Electronic integrated circuits; amplifiers","149 400 346","34 525 913","114 874 433"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","2 522 666 836","1 615 465 271","907 201 565"
"","","[854290] Parts of electronic integrated circuits","5 992 308 991","4 636 227 753","1 356 081 238"
"","Uruguay [UY]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","9 648","9 648",""
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","81 917","81 917",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","2 413","2 413",""
"","","[854290] Parts of electronic integrated circuits","9 573","9 573",""
"","Uzbekistan [UZ]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 003 675","1 003 675",""
"","Vanuatu [VU]","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2","2",""
"","Venezuela [VE]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","118 056","","118 056"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","166","","166"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2","2",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","481","","481"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","4 897","","4 897"
"","Viet Nam [VN]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","645 879 959","138 311 969","507 567 991"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","380 804 583","259 025 518","121 779 064"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","19 691 369","19 645 556","45 814"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","4 519 991 068","3 615 976 356","904 014 712"
"","","[854232] Electronic integrated circuits; memories","537 580 170","449 899 185","87 680 985"
"","","[854233] Electronic integrated circuits; amplifiers","107 536 822","107 478 443","58 380"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","612 826 798","489 343 338","123 483 460"
"","","[854290] Parts of electronic integrated circuits","526 711 071","476 294 517","50 416 554"
"","Virgin Islands (US) [VI]","[854290] Parts of electronic integrated circuits","66","66",""
"","Virgin Islands, British [VG]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","10 186 065","","10 186 065"
"","Yemen [YE]","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","13 660","","13 660"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","173 378","","173 378"
"","Zambia [ZM]","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","1","1",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","17 870","17 870",""
"","","[854290] Parts of electronic integrated circuits","3 543","3 543",""
"Myanmar","  European Union [EU-27]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","4 035","","4 035"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","4 132","","4 132"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","23 758","","23 758"
"","","[854233] Electronic integrated circuits; amplifiers","1 094","","1 094"
"","","[854290] Parts of electronic integrated circuits","1 420","","1 420"
""," ASEAN [00]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 664","","1 664"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","58 105","","58 105"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","166 062","","166 062"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","27 849","","27 849"
"","","[854233] Electronic integrated circuits; amplifiers","26 586","","26 586"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","222 530","","222 530"
"","","[854290] Parts of electronic integrated circuits","10 633","","10 633"
""," Extra-ASEAN [88]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","455 682","","455 682"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","5 542","","5 542"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","1 976 108","","1 976 108"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 746 628","","1 746 628"
"","","[854232] Electronic integrated circuits; memories","210","","210"
"","","[854233] Electronic integrated circuits; amplifiers","5 911","","5 911"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","32 162","","32 162"
"","","[854290] Parts of electronic integrated circuits","85 468","","85 468"
""," WORLD [99]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","457 346","","457 346"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","63 647","","63 647"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2 142 170","","2 142 170"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 774 477","","1 774 477"
"","","[854232] Electronic integrated circuits; memories","210","","210"
"","","[854233] Electronic integrated circuits; amplifiers","32 497","","32 497"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","254 692","","254 692"
"","","[854290] Parts of electronic integrated circuits","96 101","","96 101"
"","Belgium [BE]","[854290] Parts of electronic integrated circuits","1 420","","1 420"
"","China (People's Republic of) [CN]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","440 980","","440 980"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","38","","38"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","855 065","","855 065"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 390 352","","1 390 352"
"","","[854233] Electronic integrated circuits; amplifiers","675","","675"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","28 057","","28 057"
"","","[854290] Parts of electronic integrated circuits","7 758","","7 758"
"","Denmark [DK]","[854233] Electronic integrated circuits; amplifiers","1 094","","1 094"
"","Germany [DE]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","4 035","","4 035"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","3 755","","3 755"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","2 454","","2 454"
"","Hong Kong [HK]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","200","","200"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","378 355","","378 355"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","166 518","","166 518"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","1 463","","1 463"
"","India [IN]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 818","","1 818"
"","","[854290] Parts of electronic integrated circuits","403","","403"
"","Indonesia [ID]","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","26 750","","26 750"
"","Italy [IT]","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","21 304","","21 304"
"","Japan [JP]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","177","","177"
"","","[854232] Electronic integrated circuits; memories","210","","210"
"","","[854233] Electronic integrated circuits; amplifiers","100","","100"
"","","[854290] Parts of electronic integrated circuits","1 442","","1 442"
"","Korea, Republic of [KR]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","657","","657"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","480","","480"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","2 111","","2 111"
"","Luxembourg [LU]","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","377","","377"
"","Malaysia [MY]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","50","","50"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","54 960","","54 960"
"","Philippines [PH]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 614","","1 614"
"","Singapore [SG]","[854233] Electronic integrated circuits; amplifiers","1 460","","1 460"
"","Taiwan [TW]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","7 585","","7 585"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","540","","540"
"","Thailand [TH]","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","58 105","","58 105"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","166 062","","166 062"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 099","","1 099"
"","","[854233] Electronic integrated circuits; amplifiers","25 126","","25 126"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","167 570","","167 570"
"","","[854290] Parts of electronic integrated circuits","10 633","","10 633"
"","United Arab Emirates [AE]","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","742 688","","742 688"
"","United Kingdom [GB]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","135","","135"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","300","","300"
"","United states [US]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","94","","94"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","352","","352"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","163 888","","163 888"
"","","[854233] Electronic integrated circuits; amplifiers","4 042","","4 042"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","2 342","","2 342"
"","","[854290] Parts of electronic integrated circuits","74 445","","74 445"
"Philippines","  European Union [EU-27]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","44 509 651","25 615 248","18 894 403"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","205 823 893","205 091 486","732 407"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","941 558","","941 558"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 115 251 898","994 826 325","120 425 573"
"","","[854232] Electronic integrated circuits; memories","432 937 940","408 341 681","24 596 259"
"","","[854233] Electronic integrated circuits; amplifiers","228 900 646","227 491 836","1 408 810"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","3 311 720 010","2 482 622 794","829 097 216"
"","","[854290] Parts of electronic integrated circuits","23 074 428","2 356 419","20 718 009"
""," ASEAN [00]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 218 817 095","1 066 771 654","152 045 441"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","112 857 764","108 603 932","4 253 832"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","6 903 599","6 898","6 896 701"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","2 052 367 372","1 825 343 633","227 023 739"
"","","[854232] Electronic integrated circuits; memories","226 634 944","209 209 653","17 425 291"
"","","[854233] Electronic integrated circuits; amplifiers","141 654 951","138 310 878","3 344 073"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","5 075 150 274","2 986 064 394","2 089 085 880"
"","","[854290] Parts of electronic integrated circuits","358 328 887","59 606 274","298 722 613"
""," Extra-ASEAN [88]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 714 688 063","348 284 534","1 366 403 529"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","703 647 704","654 459 630","49 188 074"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","28 487 408","6 810","28 480 598"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","8 356 811 989","7 384 854 017","971 957 972"
"","","[854232] Electronic integrated circuits; memories","3 151 091 316","2 595 670 430","555 420 886"
"","","[854233] Electronic integrated circuits; amplifiers","1 093 881 337","1 076 200 199","17 681 138"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","24 329 970 715","12 711 436 996","11 618 533 719"
"","","[854290] Parts of electronic integrated circuits","1 141 159 462","71 002 903","1 070 156 559"
""," WORLD [99]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","2 933 505 158","1 415 056 188","1 518 448 970"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","816 505 468","763 063 562","53 441 906"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","35 391 007","13 708","35 377 299"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","10 409 179 361","9 210 197 650","1 198 981 711"
"","","[854232] Electronic integrated circuits; memories","3 377 726 260","2 804 880 083","572 846 177"
"","","[854233] Electronic integrated circuits; amplifiers","1 235 536 288","1 214 511 077","21 025 211"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","29 405 120 989","15 697 501 390","13 707 619 599"
"","","[854290] Parts of electronic integrated circuits","1 499 488 349","130 609 177","1 368 879 172"
"","Afghanistan [AF]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","235","","235"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","738 073","738 073",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","1 025","1 025",""
"","Albania [AL]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","799","","799"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","425","425",""
"","Angola [AO]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","7 800","7 800",""
"","Argentina [AR]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","189 336","189 336",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","103 515","103 515",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","1 462","1 462",""
"","Armenia [AM]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","690","690",""
"","Aruba [AW]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","9 156","9 156",""
"","Australia [AU]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","3 145 532","2 975 668","169 864"
